stop_lat,wheelchair_boarding,stop_code,stop_lon,parent_station,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
29.940132,0,405,-90.12335,,,405,FRERET ST & NEWCOMB BLVD,Freret at Audubon Place,0,
29.938534,0,404,-90.120436,,,404,MCALISTER PL & FRERET ST,Freret at Tulane/Loyola,0,
30.000757,0,1375,-90.049991,,,1375,FRANKLIN AVE & VERBENA ST,Franklin at Jasmine,0,
29.999136,0,1374,-90.049867,,,1374,FRANKLIN AVE & JONQUIL ST,Franklin at Gladiolus,0,
30.004992,0,1377,-90.050214,,,1377,FRANKLIN AVE & LOMBARD ST,Franklin at Lombard,0,
30.002731,0,1376,-90.050055,,,1376,FRANKLIN AVE & GENTILLY BLVD,Franklin at Gentilly,0,
30.008487,0,1379,-90.050515,,,1379,FRANKLIN AVE & MIRABEAU AVE,Franklin at Mirabeau,0,
30.006794,0,1378,-90.05037,,,1378,FRANKLIN AVE & LOMBARD ST,Franklin at Carnot,0,
29.967598,0,8499,-90.077855,,,8499,ORLEANS AVE & N CLAIBORNE AVE,Orleans at N Galvez,0,
29.966157,0,8498,-90.075668,,,8498,ORLEANS AVE & N ROMAN ST,Orleans at N Prieur,0,
29.950981,0,409,-90.116245,,,409,S CLAIBORNE AVE & BROADWAY ST,S Claiborne at Broadway,0,
29.953205,0,408,-90.117488,,,408,S CLAIBORNE AVE & ADAMS ST,S Claiborne at Adams,0,
29.978614,0,2031,-90.057893,,,2031,N GALVEZ ST & FRENCHMEN ST,N Galvez at Elysian Fields,0,
29.978541,0,2030,-90.059037,,,2030,N GALVEZ ST & FRENCHMEN ST,N Galvez at Frenchman,0,
29.946391,0,456,-90.088856,,,456,MARTIN LUTHER KING JR BLVD & S CLAIBORNE AVE,M L King at S Claiborne,0,
29.949982,0,457,-90.071649,,,457,POYDRAS ST & ST CHARLES AVE,Poydras at Carondelet,0,
29.961708,0,1943,-90.041905,,,1943_merged_2495685,CHARTRES ST & GALLIER ST,Royal at Desire,0,
29.938899,0,371,-90.084894,,,371,SIMON BOLIVAR AVE & LOYOLA AVE,Simon Bolivar at Jackson,0,
29.939091,0,370,-90.087537,,,370,1st St & La Salle St,LaSalle at 1st Street,0,
29.938334,0,372,-90.084314,,,372,JACKSON AVE & S SARATOGA ST,Jackson at S Saratoga,0,
29.935807,0,393,-90.097785,,,393,PENISTON ST & FRERET ST,Freret at Peniston,0,
29.936307,0,392,-90.095798,,,392,FRERET ST & LOUISIANA AVE,Freret at Louisiana,0,
29.93652,0,391,-90.093021,,,391,LA SALLE ST & 6TH ST PKY,LaSalle at Seventh Street,0,
29.937738,0,390,-90.090863,,,390,LA SALLE ST & FOURTH ST,LaSalle at Washington,0,
29.934982,0,397,-90.107147,,,397,UPPERLINE ST & FRERET ST,Freret at Upperline,0,
29.935141,0,396,-90.105218,,,396,CADIZ ST & FRERET ST,Freret at Cadiz,0,
29.935153,0,395,-90.103141,,,395,NAPOLEON AVE & LA SALLE ST,Freret at Napoleon,0,
29.935511,0,394,-90.100444,,,394,MILAN ST & FRERET ST,Freret at Milan,0,
29.935228,0,399,-90.111038,,,399,JEFFERSON AVE & FRERET ST,Freret at Jefferson,0,
29.935038,0,398,-90.109229,,,398,SONIAT ST & FRERET ST,Freret at Soniat,0,
29.939881,0,4345,-90.130019,,,4345,SAINT CHARLES AVE & HILLARY ST,St Charles at Hillary,0,
